Distance,Angle,Top,Bottom
7.50,46.00,1800.00,3600.00
6.80,46.00,1800.00,3420.00
6.20,46.00,1800.00,3240.00
5.40,46.00,1800.00,3060.00
7.60,46.00,1900.00,3610.00
7.10,46.00,1900.00,3420.00
6.40,46.00,1900.00,3230.00
5.60,46.00,1900.00,3040.00
7.90,46.00,2000.00,3600.00
7.30,46.00,2000.00,3400.00
6.60,46.00,2000.00,3200.00
5.60,46.00,2000.00,3000.00
8.10,46.00,2100.00,3570.00
7.40,46.00,2100.00,3360.00
6.60,46.00,2100.00,3150.00
5.60,46.00,2100.00,2940.00
8.20,46.00,2200.00,3520.00
7.50,46.00,2200.00,3300.00
6.60,46.00,2200.00,3080.00
5.20,46.00,2200.00,2860.00
8.80,46.00,2300.00,3680.00
8.20,46.00,2300.00,3450.00
7.40,46.00,2300.00,3220.00
6.40,46.00,2300.00,2990.00
8.90,46.00,2400.00,3600.00
8.20,46.00,2400.00,3360.00
7.20,46.00,2400.00,3120.00
6.00,46.00,2400.00,2880.00
8.80,46.00,2500.00,3500.00
8.00,46.00,2500.00,3250.00
6.90,46.00,2500.00,3000.00
4.80,46.00,2500.00,2750.00
9.40,46.00,2600.00,3640.00
8.60,46.00,2600.00,3380.00
7.70,46.00,2600.00,3120.00
6.30,46.00,2600.00,2860.00
10.00,46.00,2700.00,3780.00
9.30,46.00,2700.00,3510.00
8.40,46.00,2700.00,3240.00
7.20,46.00,2700.00,2970.00
5.00,46.00,2700.00,2700.00
9.90,46.00,2800.00,3640.00
9.00,46.00,2800.00,3360.00
7.90,46.00,2800.00,3080.00
6.30,46.00,2800.00,2800.00
10.50,46.00,2900.00,3770.00
9.60,46.00,2900.00,3480.00
8.50,46.00,2900.00,3190.00
7.20,46.00,2900.00,2900.00
10.10,46.00,3000.00,3600.00
9.10,46.00,3000.00,3300.00
7.90,46.00,3000.00,3000.00
10.70,46.00,3100.00,3720.00
9.70,46.00,3100.00,3410.00
8.50,46.00,3100.00,3100.00
11.20,46.00,3200.00,3840.00
10.30,46.00,3200.00,3520.00
9.10,46.00,3200.00,3200.00
10.80,46.00,3300.00,3630.00
9.60,46.00,3300.00,3300.00
11.30,46.00,3400.00,3740.00
10.20,46.00,3400.00,3400.00
11.80,46.00,3500.00,3850.00
10.70,46.00,3500.00,3500.00
11.20,46.00,3600.00,3600.00
11.60,46.00,3700.00,3700.00
13.20,46.00,3800.00,4180.00
12.10,46.00,3800.00,3800.00
12.50,46.00,3900.00,3900.00
12.90,46.00,4000.00,4000.00
14.20,46.00,4300.00,4300.00
